comunicacao_id,cliente_id,contrato_id,tipo_comunicacao,campanha,data_prevista_envio,data_envio,status_envio,resultado,mes_referencia,ano_referencia,custo_estimado_rs
1,227,305,Email,Lembrete Parcela,2026-09-18,,Agendado,,9,2026,0.03
2,227,305,WhatsApp,CNH Pendência,2025-10-22,2025-10-22,Enviado,Sem Resposta,10,2025,0.25
3,227,305,Carta,Lembrete Parcela,2026-10-30,,Agendado,,10,2026,4.5
4,227,305,SMS,Cobrança,2026-06-04,2026-06-04,Enviado,Respondido,6,2026,0.12
5,227,305,Push,Renovação,2026-04-16,2026-04-16,Enviado,Respondido,4,2026,0.01
6,227,305,WhatsApp,Oferta Cross-sell,2026-06-02,2026-06-02,Enviado,Pagou,6,2026,0.25
7,227,305,SMS,Cobrança,2025-05-08,2025-05-08,Enviado,Respondido,5,2025,0.12
8,236,317,WhatsApp,CNH Pendência,2026-07-26,2026-07-26,Enviado,Sem Resposta,7,2026,0.25
9,236,317,SMS,Cobrança,2027-01-18,,Agendado,,1,2027,0.12
10,236,317,WhatsApp,Lembrete Parcela,2026-10-07,,Agendado,,10,2026,0.25
11,236,317,SMS,Oferta Cross-sell,2025-07-25,2025-07-25,Enviado,Pagou,7,2025,0.12
12,236,317,SMS,Cobrança,2026-09-25,,Agendado,,9,2026,0.12
13,236,317,Push,Entrega Veículo,2025-06-15,,Falhou,,6,2025,0.01
14,236,317,WhatsApp,Oferta Cross-sell,2026-10-14,,Agendado,,10,2026,0.25
15,42,51,Email,Entrega Veículo,2026-12-23,,Agendado,,12,2026,0.03
16,42,51,WhatsApp,Cobrança,2027-01-09,,Agendado,,1,2027,0.25
17,42,51,SMS,CNH Pendência,2026-11-12,,Agendado,,11,2026,0.12
18,42,51,SMS,Cobrança,2026-10-26,,Agendado,,10,2026,0.12
19,238,319,SMS,Renovação,2026-05-06,,Falhou,,5,2026,0.12
20,238,319,Carta,Cobrança,2025-02-26,2025-02-26,Enviado,Sem Resposta,2,2025,4.5
