contrato_id,cliente_id,proposta_id,grupo_consorcio,tipo_produto,modelo_veiculo,categoria_veiculo,valor_financiado,entrada_pct,prazo_meses,taxa_juros_am,status_contrato,motivo_cancelamento,data_contratacao,data_status,aprovado,sucesso
1,1,10000,,Financiamento Veículo,Orion,SUV,132215.2,0.31,72,1.34,Inadimplente,,2020-10-28,2021-12-24,true,false
2,2,10001,G021,Consórcio,Aurora Hatch,Passeio,114065.05,0.38,36,1.49,Quitado,,2024-05-27,2025-01-03,true,true
3,3,10002,,CDC,Aurora Hatch,Passeio,113582.3,0.39,60,1.11,Ativo,,2020-09-11,2022-03-12,true,true
4,4,10003,,Financiamento Veículo,Eclipse X,Passeio,334775.73,0.35,60,1.14,Cancelado,Negado crédito,2024-01-19,2024-12-13,false,false
5,5,10004,,Financiamento Veículo,Orion,SUV,141504.34,0.24,60,1.48,Ativo,,2020-01-24,2020-11-23,true,true
6,6,10005,,CDC,Lumen,Passeio,87467.0,0.33,60,1.48,Cancelado,Negado crédito,2022-08-08,2023-07-08,false,false
7,6,10006,,Financiamento Veículo,Aurora,Passeio,100693.04,0.35,60,1.77,Ativo,,2022-03-04,2022-12-01,true,true
8,7,10007,,CDC,Nimbus Sport,Passeio,398239.35,0.28,60,1.14,Ativo,,2022-11-05,2025-03-17,true,true
9,8,10008,G020,Consórcio,Aurora,Passeio,103821.93,0.26,48,1.87,Quitado,,2022-12-13,2023-10-12,true,true
10,9,10009,G004,Consórcio,Stratos,SUV,268984.18,0.14,60,1.82,Ativo,,2023-11-17,2024-04-24,true,true
11,9,10010,G008,Consórcio,Vértice,SUV,177477.41,0.33,60,1.43,Ativo,,2024-04-19,2026-02-20,true,true
12,9,10011,,Financiamento Veículo,Eclipse X,Passeio,310013.79,0.34,24,1.35,Quitado,,2024-07-16,2025-08-27,true,true
13,10,10012,,Financiamento Veículo,Aurora Hatch,Passeio,104818.68,0.33,24,1.65,Ativo,,2024-05-22,2026-06-05,true,true
14,11,10013,,Financiamento Veículo,Nimbus,Passeio,197740.68,0.39,36,1.44,Ativo,,2025-06-27,2026-07-07,true,true
15,12,10014,,Financiamento Veículo,Vértice,SUV,199629.95,0.2,24,1.03,Ativo,,2022-11-04,2024-03-18,true,true
16,13,10015,,Financiamento Veículo,Vértice,SUV,190890.02,0.39,36,1.89,Ativo,,2025-02-22,2026-01-27,true,true
17,14,10016,G003,Consórcio,Atlas,SUV,258400.6,0.21,36,1.04,Quitado,,2020-07-16,2022-08-01,true,true
18,15,10017,G001,Consórcio,Eclipse X,Passeio,332438.82,0.16,24,1.11,Quitado,,2021-03-07,2022-07-05,true,true
19,15,10018,,Financiamento Veículo,Aurora,Passeio,89209.63,0.14,60,1.61,Cancelado,Troca de produto,2021-07-14,2021-11-12,true,false
20,16,10019,,Financiamento Veículo,Nimbus,Passeio,156192.09,0.19,60,1.69,Ativo,,2024-07-17,2026-06-03,true,true
21,17,10020,G020,Consórcio,Vértice,SUV,164788.81,0.3,60,1.31,Ativo,,2020-02-09,2020-08-12,true,true
22,17,10021,,Financiamento Veículo,Eclipse X,Passeio,329286.08,0.17,24,1.12,Ativo,,2019-12-25,2021-02-20,true,true
23,17,10022,,Financiamento Veículo,Lumen,Passeio,97154.72,0.14,48,1.57,Ativo,,2020-02-27,2021-12-02,true,true
24,18,10023,G022,Consórcio,Atlas,SUV,320107.27,0.36,36,1.46,Inadimplente,,2022-02-16,2023-04-23,true,false
25,19,10024,,CDC,Aurora,Passeio,109378.84,0.17,60,1.09,Ativo,,2023-09-08,2023-12-19,true,true
26,20,10025,,Leasing,Aurora,Passeio,114658.95,0.14,72,1.37,Quitado,,2023-08-01,2025-10-20,true,true
27,21,10026,G009,Consórcio,Nimbus,Passeio,151001.36,0.16,24,1.84,Ativo,,2020-09-01,2022-07-06,true,true
28,22,10027,,Financiamento Veículo,Eclipse X,Passeio,313886.02,0.29,72,1.54,Cancelado,Desistência cliente,2021-10-19,2023-04-25,true,false
29,23,10028,,Financiamento Veículo,Vértice,SUV,197547.31,0.29,24,1.27,Ativo,,2025-01-30,2026-07-30,true,true
30,23,10029,,Financiamento Veículo,Orion,SUV,122316.24,0.23,60,1.54,Quitado,,2024-07-19,2026-07-30,true,true
31,24,10030,G023,Consórcio,Vértice,SUV,168361.01,0.1,60,1.85,Quitado,,2025-02-02,2026-07-30,true,true
32,25,10031,,CDC,Vértice,SUV,186030.86,0.36,24,1.68,Quitado,,2021-10-25,2023-02-06,true,true
33,26,10032,,Leasing,Nimbus,Passeio,165776.98,0.29,60,1.4,Cancelado,Inadimplência antecipada,2023-01-15,2023-08-03,true,false
34,27,10033,,CDC,Atlas,SUV,319599.61,0.3,24,1.2,Inadimplente,,2020-11-05,2020-12-17,true,false
35,28,10034,G006,Consórcio,Aurora Hatch,Passeio,105919.29,0.38,24,1.49,Ativo,,2021-10-13,2023-01-15,true,true
36,29,10035,G009,Consórcio,Orion,SUV,136650.26,0.35,72,1.33,Ativo,,2021-01-04,2021-03-28,true,true
37,30,10036,,Leasing,Stratos,SUV,268698.97,0.12,60,1.77,Quitado,,2025-02-12,2026-07-30,true,true
38,31,10037,G010,Consórcio,Lumen,Passeio,79615.44,0.32,36,1.41,Ativo,,2024-10-17,2026-07-30,true,true
39,32,10038,,Financiamento Veículo,Stratos,SUV,253233.76,0.1,60,1.01,Inadimplente,,2023-11-30,2026-05-07,true,false
40,32,10039,,Financiamento Veículo,Aurora,Passeio,113725.75,0.3,48,1.08,Ativo,,2023-11-24,2025-02-25,true,true
41,33,10040,G009,Consórcio,Aurora,Passeio,114286.54,0.13,36,1.8,Ativo,,2022-07-17,2023-09-01,true,true
