parcela_id,contrato_id,cliente_id,numero_parcela,data_vencimento,valor_parcela,status_parcela,dias_atraso,etapa_cobranca,data_pagamento,valor_recuperado,potencial_recuperacao,agente_cobranca,mes,ano
1,1,1,1,2020-11-27,1284.04,Pendente,1,SMS,,0.0,Alto,Terceirizado Sul,11,2020
2,1,1,2,2020-12-27,1284.04,Paga,0,Ligação,2021-01-14,928.44,Alto,Equipe C,12,2020
3,1,1,3,2021-01-26,1284.04,Paga,0,Email,2021-02-07,997.81,Alto,Equipe A,1,2021
4,1,1,4,2021-02-25,1284.04,Paga,0,Sem Cobrança,2021-02-26,1284.04,Alto,,2,2021
5,1,1,5,2021-03-27,1284.04,Paga,0,Sem Cobrança,2021-03-29,1284.04,Alto,,3,2021
6,1,1,6,2021-04-26,1284.04,Paga,0,Sem Cobrança,2021-04-28,1284.04,Alto,,4,2021
7,1,1,7,2021-05-26,1284.04,Paga,0,Sem Cobrança,2021-05-27,1284.04,Alto,,5,2021
8,1,1,8,2021-06-25,1284.04,Paga,0,Sem Cobrança,2021-06-25,1284.04,Alto,,6,2021
9,1,1,9,2021-07-25,1284.04,Renegociada,61,Jurídico,2021-09-24,1258.59,Médio,Equipe B,7,2021
10,1,1,10,2021-08-24,1284.04,Paga,0,Sem Cobrança,2021-08-27,1284.04,Alto,,8,2021
11,1,1,11,2021-09-23,1284.04,Paga,0,Sem Cobrança,2021-09-24,1284.04,Alto,,9,2021
12,1,1,12,2021-10-23,1284.04,Paga,0,Sem Cobrança,2021-10-24,1284.04,Alto,,10,2021
13,1,1,13,2021-11-22,1284.04,Paga,0,Email,2021-11-29,1146.23,Alto,Equipe A,11,2021
14,1,1,14,2021-12-22,1284.04,Paga,0,Ligação,2022-01-10,1082.29,Alto,Terceirizado Sul,12,2021
15,1,1,15,2022-01-21,1284.04,Paga,0,Email,2022-01-30,999.99,Alto,Terceirizado Sul,1,2022
16,1,1,16,2022-02-20,1284.04,Paga,0,Sem Cobrança,2022-02-20,1284.04,Alto,,2,2022
17,1,1,17,2022-03-22,1284.04,Paga,0,Email,2022-03-27,1020.44,Alto,Terceirizado Sul,3,2022
18,1,1,18,2022-04-21,1284.04,Paga,0,Sem Cobrança,2022-04-21,1284.04,Alto,,4,2022
19,1,1,19,2022-05-21,1284.04,Paga,0,Ligação,2022-06-05,1224.04,Alto,Terceirizado Sul,5,2022
20,1,1,20,2022-06-20,1284.04,Paga,0,Sem Cobrança,2022-06-22,1284.04,Alto,,6,2022
21,1,1,21,2022-07-20,1284.04,Paga,0,Cartório,2022-08-22,1150.89,Alto,Terceirizado Norte,7,2022
22,1,1,22,2022-08-19,1284.04,Paga,0,Sem Cobrança,2022-08-20,1284.04,Alto,,8,2022
23,1,1,23,2022-09-18,1284.04,Paga,0,Sem Cobrança,2022-09-19,1284.04,Alto,,9,2022
24,1,1,24,2022-10-18,1284.04,Paga,0,Sem Cobrança,2022-10-19,1284.04,Alto,,10,2022
25,2,2,1,2024-06-26,1993.72,Paga,0,Sem Cobrança,2024-06-26,1993.72,Alto,,6,2024
26,2,2,2,2024-07-26,1993.72,Paga,0,Sem Cobrança,2024-07-26,1993.72,Alto,,7,2024
27,2,2,3,2024-08-25,1993.72,Paga,0,Sem Cobrança,2024-08-25,1993.72,Alto,,8,2024
28,2,2,4,2024-09-24,1993.72,Paga,0,Sem Cobrança,2024-09-26,1993.72,Alto,,9,2024
29,2,2,5,2024-10-24,1993.72,Paga,0,Sem Cobrança,2024-10-26,1993.72,Alto,,10,2024
30,2,2,6,2024-11-23,1993.72,Paga,0,Sem Cobrança,2024-11-23,1993.72,Alto,,11,2024
31,2,2,7,2024-12-23,1993.72,Vencida,59,Cartório,,0.0,Médio,Equipe B,12,2024
32,2,2,8,2025-01-22,1993.72,Paga,0,Sem Cobrança,2025-01-22,1993.72,Alto,,1,2025
33,2,2,9,2025-02-21,1993.72,Paga,0,Sem Cobrança,2025-02-21,1993.72,Alto,,2,2025
34,2,2,10,2025-03-23,1993.72,Paga,0,Sem Cobrança,2025-03-24,1993.72,Alto,,3,2025
35,2,2,11,2025-04-22,1993.72,Paga,0,Sem Cobrança,2025-04-23,1993.72,Alto,,4,2025
